Point,Avg Soil Moisture SM (%),Avg Plant Available Water PAW (%),Latitude,Longitude
1,36.2637362637363,116.318681318681,50.487725,12.14026
2,21.0989010989011,40.4945054945055,50.487498,12.140125
3,31.8681318681319,94.3406593406593,50.487112,12.139937
4,27.0015698571429,70.0078492857143,50.486196,12.138867
5,28.7545787582418,78.7728937912088,50.48632,12.139675
6,40.0732600769231,135.366300384615,50.486153,12.139615
7,21.2454212417582,41.2271062087912,50.486825,12.141259
8,30.9065934065934,89.532967032967,50.486817,12.141961
9,17.6556776593407,23.2783882967033,50.489418,12.144842
10,26.2637362637363,66.3186813186813,50.489421,12.143132
11,32.2559793186813,96.2798965934066,50.489046,12.141094
