Day,Percentile90
1,9.82
2,7.28
3,8.18
4,9.12
5,7.07
6,8.2
7,9.74
8,8.7
9,10.32
10,11.6
11,8.69
12,7.66
13,9.4
14,8.99
15,6.6
16,8.76
17,6.8
18,7.4
19,6.18
20,7.43
21,7
22,7.62
23,6.61
24,8.31
25,7.29
26,8.34
27,7.19
28,7.44
29,7.62
30,7.28
31,7.9
32,9.8
33,9.13
34,9.15
35,7.86
36,8.82
37,9.97
38,9.16
39,9.15
40,10.1
41,8.72
42,9.65
43,9.9
44,9.6
45,9.21
46,11
47,12.3
48,10.32
49,9.82
50,8.15
51,9.89
52,12.41
53,9.9
54,11.37
55,12.96
56,12.74
57,11.32
58,13.03
59,13.2
60,10.76
61,15.01
62,11.8
63,13.15
64,10.69
65,11.99
66,10.9
67,12.2
68,12.4
69,14.92
70,15.04
71,14.98
72,15.76
73,14.7
74,13.3
75,14.33
76,15.9
77,17.43
78,15.96
79,15.37
80,15.1
81,15
82,15.3
83,16.42
84,17.17
85,16.1
86,14.9
87,16.98
88,17.95
89,19.09
90,18.53
91,18.94
92,19.07
93,19.76
94,19.39
95,15.92
96,18.12
97,21.2
98,17.29
99,18.98
100,20.27
101,18.46
102,18.73
103,21.21
104,18.1
105,22.5
106,20.72
107,19.1
108,19.58
109,20.27
110,20.92
111,22.11
112,24.1
113,24.03
114,24.64
115,23.74
116,23.66
117,22.44
118,23.52
119,24.59
120,23.38
121,23.27
122,20.9
123,23.2
124,22.19
125,22.27
126,22.8
127,22.44
128,23.78
129,25
130,24.6
131,25.7
132,25.8
133,21.6
134,24.18
135,22.7
136,25.4
137,26.05
138,25.9
139,25.41
140,26
141,25.35
142,25.9
143,24.2
144,26.2
145,25.96
146,26.92
147,26.09
148,28.31
149,27.76
150,27.39
151,24.99
152,26.23
153,27.8
154,28.27
155,29.4
156,29.87
157,27.73
158,28.66
159,29.24
160,29.44
161,29.4
162,28
163,28.48
164,26.87
165,29.02
166,28.22
167,26.22
168,27.59
169,31.29
170,32.2
171,31.17
172,28.07
173,27.49
174,29.36
175,28.13
176,29.98
177,28.99
178,28.69
179,28.48
180,29.39
181,28.7
182,28.7
183,28.4
184,30.8
185,30.79
186,30.02
187,29.25
188,28.39
189,28.64
190,29.45
191,27.52
192,30.44
193,29.74
194,28.74
195,28.76
196,28.12
197,28.6
198,28.56
199,30.35
200,31.36
201,32.9
202,32.04
203,31.68
204,28.96
205,30.68
206,31.54
207,31.87
208,31.46
209,32.37
210,30.8
211,31.9
212,30.38
213,30.76
214,31.2
215,31.5
216,32.3
217,29.84
218,29.66
219,32.4
220,32.36
221,33.4
222,32.79
223,30.1
224,29.57
225,31.76
226,30.55
227,29.38
228,28.7
229,29.53
230,29.41
231,28.81
232,29.63
233,29.51
234,29.68
235,26.88
236,27.17
237,29.45
238,30.15
239,28.48
240,27.77
241,28.7
242,29.3
243,26.3
244,28.7
245,25.62
246,24.2
247,26.75
248,26.14
249,25.6
250,26.87
251,25.57
252,26.9
253,26.09
254,27.1
255,27.46
256,26.18
257,26.1
258,25.68
259,24.57
260,24.23
261,23.37
262,23.97
263,23.74
264,23.38
265,23.58
266,23.29
267,23.17
268,22.09
269,21.75
270,22.97
271,21.08
272,23.08
273,21.1
274,20.55
275,21.36
276,20.64
277,20.47
278,19.2
279,21.44
280,19.9
281,19.69
282,20.49
283,19.93
284,17.9
285,20.77
286,19.8
287,21.9
288,20.45
289,19.64
290,20.42
291,17.57
292,17.3
293,17.48
294,16.49
295,18.84
296,17.59
297,17.34
298,16.3
299,18.62
300,17.81
301,16.93
302,15.36
303,15.25
304,16.66
305,15.47
306,14.1
307,14.3
308,14.35
309,13.58
310,12.29
311,13.29
312,12.99
313,12.6
314,11.7
315,13.66
316,13.39
317,12.69
318,11.96
319,13.17
320,11.33
321,11.25
322,10.1
323,12.18
324,9.63
325,9.59
326,11
327,10.57
328,12.7
329,10.2
330,9.5
331,9.51
332,8.55
333,8.8
334,7.88
335,7.49
336,8.58
337,7.39
338,9.38
339,8.36
340,8.48
341,8.9
342,8.6
343,8.48
344,6.71
345,8.51
346,9.5
347,9.43
348,8.3
349,9
350,7.69
351,8.59
352,8
353,10.3
354,7.61
355,7.75
356,9.31
357,9.84
358,9.85
359,9.92
360,10.69
361,8
362,8.22
363,7.3
364,8.99
365,9.16
366,5.54
